epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.232,0.08263,1,1,0.00273,0.00331532,0.00331532,0.0701622
2,94.1989,0.07402,0.96701,1,0.09507,0.00658283,0.00658283,0.0400963
3,140.361,0.07554,0.97569,1,0.06951,0.00978434,0.00978434,0.00996452
4,187.329,0.0522,0.99306,1,0.02711,0.009703,0.009703,0.009703
5,233.799,0.0354,0.99826,1,0.00562,0.009604,0.009604,0.009604
6,280.036,0.04117,1,1,0.00429,0.009505,0.009505,0.009505
7,326.275,0.02162,0.99826,1,0.00989,0.009406,0.009406,0.009406
8,373.508,0.02015,1,1,0.00017,0.009307,0.009307,0.009307
9,420.162,0.02318,1,1,2e-05,0.009208,0.009208,0.009208
10,466.855,0.01609,1,1,9e-05,0.009109,0.009109,0.009109
11,515.062,0.03208,1,1,0.001,0.00901,0.00901,0.00901
12,562.759,0.0259,0.99653,1,0.0034,0.008911,0.008911,0.008911
13,610.791,0.02583,1,1,0.00305,0.008812,0.008812,0.008812
14,658.222,0.02402,0.99826,1,0.00509,0.008713,0.008713,0.008713
15,703.658,0.01859,1,1,0.0127,0.008614,0.008614,0.008614
16,748.73,0.01787,1,1,0.00655,0.008515,0.008515,0.008515
17,793.911,0.01689,1,1,0.00177,0.008416,0.008416,0.008416
18,839.044,0.01209,1,1,0.00064,0.008317,0.008317,0.008317
19,884.179,0.02211,0.99479,1,0.01982,0.008218,0.008218,0.008218
20,929.18,0.01551,1,1,0.00044,0.008119,0.008119,0.008119
21,973.522,0.01494,1,1,2e-05,0.00802,0.00802,0.00802
22,1020.85,0.01426,0.99653,1,0.00618,0.007921,0.007921,0.007921
23,1066.51,0.01279,0.99479,1,0.02127,0.007822,0.007822,0.007822
24,1112.68,0.01147,1,1,0.00025,0.007723,0.007723,0.007723
25,1161.09,0.01077,1,1,7e-05,0.007624,0.007624,0.007624
26,1210.71,0.01564,0.96528,1,0.09612,0.007525,0.007525,0.007525
27,1261.69,0.01486,1,1,0.00039,0.007426,0.007426,0.007426
28,1310.63,0.01015,1,1,0.00078,0.007327,0.007327,0.007327
29,1358.91,0.01094,1,1,0.00098,0.007228,0.007228,0.007228
30,1407.78,0.02741,1,1,0.00109,0.007129,0.007129,0.007129
31,1456.03,0.0646,1,1,0.00043,0.00703,0.00703,0.00703
32,1504.29,0.02143,1,1,0.00067,0.006931,0.006931,0.006931
33,1551.73,0.01301,1,1,0.00078,0.006832,0.006832,0.006832
34,1599.19,0.00712,1,1,0.00039,0.006733,0.006733,0.006733
35,1645.53,0.01211,1,1,0.00017,0.006634,0.006634,0.006634
36,1692.51,0.01014,1,1,2e-05,0.006535,0.006535,0.006535
37,1740.21,0.00618,1,1,0,0.006436,0.006436,0.006436
38,1787.69,0.00778,1,1,1e-05,0.006337,0.006337,0.006337
39,1834.43,0.01423,1,1,0,0.006238,0.006238,0.006238
40,1882.25,0.00863,1,1,0,0.006139,0.006139,0.006139
41,1929.9,0.00641,1,1,2e-05,0.00604,0.00604,0.00604
42,1979.76,0.01084,1,1,2e-05,0.005941,0.005941,0.005941
43,2028.32,0.00772,1,1,3e-05,0.005842,0.005842,0.005842
44,2076.97,0.00696,1,1,1e-05,0.005743,0.005743,0.005743
45,2124.33,0.00829,1,1,0.00011,0.005644,0.005644,0.005644
46,2171.91,0.00822,1,1,8e-05,0.005545,0.005545,0.005545
47,2218.99,0.00638,1,1,0,0.005446,0.005446,0.005446
48,2266.04,0.01057,1,1,0,0.005347,0.005347,0.005347
49,2313.31,0.00726,1,1,1e-05,0.005248,0.005248,0.005248
50,2361.6,0.00433,1,1,6e-05,0.005149,0.005149,0.005149
51,2410.13,0.00409,1,1,1e-05,0.00505,0.00505,0.00505
52,2458.48,0.00798,1,1,0,0.004951,0.004951,0.004951
53,2507.14,0.00623,1,1,0,0.004852,0.004852,0.004852
54,2555.42,0.01465,1,1,0,0.004753,0.004753,0.004753
55,2603.34,0.00544,1,1,0,0.004654,0.004654,0.004654
56,2653.48,0.00801,1,1,0,0.004555,0.004555,0.004555
57,2701.54,0.00716,1,1,0,0.004456,0.004456,0.004456
58,2749.43,0.00554,1,1,0,0.004357,0.004357,0.004357
59,2796.74,0.00294,1,1,0,0.004258,0.004258,0.004258
60,2843.43,0.00882,1,1,0,0.004159,0.004159,0.004159
61,2889.96,0.00404,1,1,0,0.00406,0.00406,0.00406
62,2937.08,0.00461,1,1,0,0.003961,0.003961,0.003961
63,2983.37,0.00539,1,1,0,0.003862,0.003862,0.003862
64,3029.6,0.00381,1,1,0,0.003763,0.003763,0.003763
65,3075.45,0.00376,1,1,0,0.003664,0.003664,0.003664
66,3121.63,0.00321,1,1,0,0.003565,0.003565,0.003565
67,3168.01,0.00306,1,1,0,0.003466,0.003466,0.003466
68,3214.4,0.00339,1,1,0,0.003367,0.003367,0.003367
69,3262.08,0.00579,1,1,2e-05,0.003268,0.003268,0.003268
70,3309.68,0.00216,1,1,0,0.003169,0.003169,0.003169
71,3357.16,0.00357,1,1,0,0.00307,0.00307,0.00307
72,3405.65,0.00537,1,1,0,0.002971,0.002971,0.002971
73,3453.76,0.00343,1,1,0,0.002872,0.002872,0.002872
74,3501.76,0.00396,1,1,0,0.002773,0.002773,0.002773
75,3551.46,0.00475,1,1,0,0.002674,0.002674,0.002674
76,3603.43,0.00293,1,1,0,0.002575,0.002575,0.002575
77,3654.25,0.00296,1,1,0,0.002476,0.002476,0.002476
78,3704.56,0.00256,1,1,0,0.002377,0.002377,0.002377
79,3754.97,0.00165,1,1,0,0.002278,0.002278,0.002278
80,3805.79,0.00279,1,1,0,0.002179,0.002179,0.002179
81,3855.09,0.00229,1,1,0,0.00208,0.00208,0.00208
82,3904.76,0.00403,1,1,0,0.001981,0.001981,0.001981
83,3954.07,0.00184,1,1,0,0.001882,0.001882,0.001882
84,4003.29,0.00232,1,1,0,0.001783,0.001783,0.001783
85,4052,0.00178,1,1,0,0.001684,0.001684,0.001684
86,4101.22,0.00193,1,1,0,0.001585,0.001585,0.001585
87,4150.71,0.00157,1,1,0,0.001486,0.001486,0.001486
88,4200.52,0.00191,1,1,0,0.001387,0.001387,0.001387
89,4249.54,0.0015,1,1,0,0.001288,0.001288,0.001288
90,4299.2,0.00125,1,1,0,0.001189,0.001189,0.001189
91,4353.01,0.00145,1,1,0,0.00109,0.00109,0.00109
92,4406.71,0.00099,1,1,0,0.000991,0.000991,0.000991
93,4459.56,0.00104,1,1,0,0.000892,0.000892,0.000892
94,4512.91,0.00108,1,1,0,0.000793,0.000793,0.000793
95,4565.17,0.00227,1,1,0,0.000694,0.000694,0.000694
96,4616.55,0.00151,1,1,0,0.000595,0.000595,0.000595
97,4669.44,0.00082,1,1,0,0.000496,0.000496,0.000496
98,4721.57,0.0008,1,1,0,0.000397,0.000397,0.000397
99,4774.41,0.00075,1,1,0,0.000298,0.000298,0.000298
100,4826.74,0.00172,1,1,0,0.000199,0.000199,0.000199
